reporting_year,facility_id,facility_name,city,state,zip_code,latitude,longitude,primary_naics_code,industry_type_subparts,industry_type_sectors,total_reported_direct_emissions_mtco2e,continuous_emissions_monitoring,source_system,evidence_class,data_classification
2023,1003383,HEXCEL CORP,SALT LAKE CITY,UT,84118,40.653131,-112.05009,325220,C,Other,69976.734,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003385,HEXCEL CORPORATION,DECATUR,AL,35601,34.655833,-87.07111,325220,C,Other,75694.764,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003387,KENT COUNTY WASTE TO ENERGY FACILITY,GRAND RAPIDS,MI,49503,42.9492,-85.6939,562213,C,Waste,73486.024,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003391,Mid-Town Thermal Center,Atlantic City,NJ,08401,39.35978,-74.43384,221330,C,Power Plants,43174.436,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003392,GENEVA LANDFILL,GENEVA,OH,44041,41.791626,-80.90796,562212,"C,HH",Waste,45378.102,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003394,HORRY COUNTY SOLID WASTE AUTHORITY INCORPORATED,CONWAY,SC,29526,33.820322,-78.969288,562212,"C,HH",Waste,245018.518,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003395,SPADRA LANDFILL,WALNUT,CA,91789,34.038555,-117.8237,562212,HH,Waste,8397.25,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003398,SPRING GARDENS STEAM PLANT,BALTIMORE,MD,21230,39.273021,-76.618646,221330,C,Power Plants,55077.944,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003399,"WASTE MANAGEMENT OF MISSISSIPPI INC, PLANTATION OAKS MUNICIPAL LANDFILL AND RECY",SIBLEY,MS,39165,31.356953,-91.395006,562212,"C,HH",Waste,80381.0,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003402,ALBEMARLE CORPORATION HOUSTON PLANT,PASADENA,TX,77503,29.742498,-95.165513,325199,C,Chemicals,43255.924,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003403,CLEVELAND-CLIFFS STEEL CORPORATION DEARBORN WORKS,DEARBORN,MI,48120,42.301742,-83.162934,331110,"C,Q",Metals,1006822.77,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003405,BUSCH AGRICULTURAL RESOURCES,IDAHO FALLS,ID,83402,43.447,-112.07287,311213,C,Other,57982.932,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003406,Tontitown Landfill,Springdale,AR,72762,36.138,-94.2563,562212,"C,HH",Waste,120505.048,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
